DateTime,Currency,Impact,Event,Actual,Forecast,Previous,Detail
2025-01-13 20:30:00+00:00,USD,High Impact Expected,PPI m/m,0.2%,0.4%,0.4%,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the price of finished goods and services sold by producers; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 13 days after the month ends; | Next Release: Feb 13, 2025 | FF Notes: Source changed series calculation formula as of Feb 2014; | Why Traders Care: It's a leading indicator of consumer inflation - when producers charge more for goods and services the higher costs are usually passed on to the consumer; | Also Called: Finished Goods PPI, Wholesale Prices, PPI for Final Demand; | Acro Expand: Producer Price Index (PPI);"
2025-01-14 13:30:00+00:00,USD,High Impact Expected,Core PPI m/m,0.0%,0.2%,0.2%,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the price of finished goods and services sold by producers, excluding food and energy; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 13 days after the month ends; | Next Release: Feb 13, 2025 | FF Notes: Source changed series calculation formula as of Feb 2014. Food and energy prices make up about 40% of overall PPI which tends to mute the importance of the Core data; | Also Called: Core Finished Goods PPI, Core PPI for Final Demand; | Acro Expand: Producer Price Index (PPI);"
2025-01-14 20:30:00+00:00,USD,High Impact Expected,CPI y/y,2.9%,2.9%,2.7%,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the price of goods and services purchased by consumers; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 16 days after the month ends; | Next Release: Feb 12, 2025 | FF Notes: This is among the few non-seasonally adjusted numbers reported on the calendar; | Why Traders Care: Consumer prices account for a majority of overall inflation. Inflation is important to currency valuation because rising prices lead the central bank to raise interest rates out of respect for their inflation containment mandate; | Derived Via: The average price of various goods and services are sampled and then compared to the previous sampling; | Acro Expand: Consumer Price Index (CPI);"
2025-01-14 20:30:00+00:00,USD,High Impact Expected,CPI m/m,0.4%,0.4%,0.3%,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the price of goods and services purchased by consumers; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 16 days after the month ends; | Next Release: Feb 12, 2025 | Why Traders Care: Consumer prices account for a majority of overall inflation. Inflation is important to currency valuation because rising prices lead the central bank to raise interest rates out of respect for their inflation containment mandate; | Derived Via: The average price of various goods and services are sampled and then compared to the previous sampling; | Acro Expand: Consumer Price Index (CPI);"
2025-01-14 20:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.3%,0.3%,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the price of goods and services purchased by consumers, excluding food and energy; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 16 days after the month ends; | Next Release: Feb 12, 2025 | FF Notes: Food and energy prices account for about a quarter of CPI, but they tend to be very volatile and distort the underlying trend. The Federal Open Market Committee usually pays more attention to the Core data - so do traders; | Why Traders Care: Consumer prices account for a majority of overall inflation. Inflation is important to currency valuation because rising prices lead the central bank to raise interest rates out of respect for their inflation containment mandate; | Also Called: CPI Ex Food and Energy, Underlying CPI; | Acro Expand: Consumer Price Index (CPI);"
2025-01-14 20:30:00+00:00,GBP,High Impact Expected,CPI y/y,2.5%,2.6%,2.6%,"Source: Office for National Statistics (latest release) | Measures: Change in the price of goods and services purchased by consumers; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 16 days after the month ends; | Next Release: Feb 19, 2025 | FF Notes: This is considered the UK's most important inflation data because it's used as the central bank's inflation target; | Why Traders Care: Consumer prices account for a majority of overall inflation. Inflation is important to currency valuation because rising prices lead the central bank to raise interest rates out of respect for their inflation containment mandate; | Derived Via: The average price of various goods and services are sampled and then compared to the sampling done a year earlier; | Acro Expand: Consumer Price Index (CPI);"
2025-01-15 20:30:00+00:00,USD,High Impact Expected,Unemployment Claims,217K,210K,203K,"Source: Department of Labor (latest release) | Measures: The number of individuals who filed for unemployment insurance for the first time during the past week; | Usual Effect: 'Actual' less than 'Forecast' is good for currency; | Frequency: Released weekly, usually on the first Thursday after the week ends; | Next Release: Jan 23, 2025 | FF Notes: This is the nation's earliest economic data. The market impact fluctuates from week to week - there tends to be more focus on the release when traders need to diagnose recent developments, or when the reading is at extremes; | Why Traders Care: Although it's generally viewed as a lagging indicator, the number of unemployed people is an important signal of overall economic health because consumer spending is highly correlated with labor-market conditions. Unemployment is also a major consideration for those steering the country's monetary policy; | Also Called: Jobless Claims, Initial Claims;"
2025-01-15 20:30:00+00:00,USD,High Impact Expected,Retail Sales m/m,0.4%,0.6%,0.8%,"Source: Census Bureau (latest release) | Measures: Change in the total value of sales at the retail level; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 16 days after the month ends; | Next Release: Feb 14, 2025 | FF Notes: This is the earliest and broadest look at vital consumer spending data; | Why Traders Care: It's the primary gauge of consumer spending, which accounts for the majority of overall economic activity; | Also Called: Advance Retail Sales;"
2025-01-15 20:30:00+00:00,GBP,High Impact Expected,GDP m/m,0.1%,0.2%,-0.1%,"Source: Office for National Statistics (latest release) | Measures: Change in the total value of all goods and services produced by the economy; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 40 days after the month ends; | Next Release: Feb 13, 2025 | FF Notes: Source first released in Jul 2018; | Why Traders Care: It's the broadest measure of economic activity and the primary gauge of the economy's health; | Acro Expand: Gross Domestic Product (GDP);"
2025-01-16 13:30:00+00:00,USD,High Impact Expected,Core Retail Sales m/m,0.4%,0.5%,0.2%,"Source: Census Bureau (latest release) | Measures: Change in the total value of sales at the retail level, excluding automobiles; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 16 days after the month ends; | Next Release: Feb 14, 2025 | FF Notes: Automobile sales account for about 20% of Retail Sales, but they tend to be very volatile and distort the underlying trend. The Core data is therefore thought to be a better gauge of spending trends; | Why Traders Care: It's the primary gauge of consumer spending, which accounts for the majority of overall economic activity; | Also Called: Retail Sales Ex Autos;"
2025-01-17 07:00:00+00:00,GBP,High Impact Expected,Retail Sales m/m,-0.3%,0.4%,0.1%,"Source: Office for National Statistics (latest release) | Measures: Change in the total value of inflation-adjusted sales at the retail level; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 20 days after the month ends; | Next Release: Feb 21, 2025 | FF Notes: Source changed series calculation formula as of Feb 2010; | Why Traders Care: It's the primary gauge of consumer spending, which accounts for the majority of overall economic activity; | Also Called: Sales Volume, All Retailers sales;"
2025-01-20 17:00:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,"Description: Due to speak at the 60th Presidential Inauguration, in Washington DC; | Source: White House (latest release) | Speaker: US President Donald Trump; | Next Release: Jan 23, 2025 | FF Notes: US President Jan 2017 - Jan 2021 and Jan 2025 - Jan 2029. He speaks frequently on a broad range of subjects - only speeches that might have direct market impact are listed on the calendar;"
2025-01-21 07:00:00+00:00,GBP,High Impact Expected,Claimant Count Change,0.7K,10.3K,-25.1K,"Source: Office for National Statistics (latest release) | Measures: Change in the number of people claiming unemployment-related benefits during the previous month; | Usual Effect: 'Actual' less than 'Forecast' is good for currency; | Frequency: Released monthly, about 16 days after the month ends; | Next Release: Feb 18, 2025 | FF Notes: It's the first indication of the employment situation, released a month earlier than the Unemployment Rate. Source changed series calculation formula as of Jun 2015; | Why Traders Care: Although it's generally viewed as a lagging indicator, the number of unemployed people is an important signal of overall economic health because consumer spending is highly correlated with labor-market conditions. Unemployment is also a major consideration for those steering the country's monetary policy; | Also Called: Jobless Claims, Unemployment Change;"
2025-01-22 20:30:00+00:00,USD,High Impact Expected,Unemployment Claims,223K,221K,217K,"Source: Department of Labor (latest release) | Measures: The number of individuals who filed for unemployment insurance for the first time during the past week; | Usual Effect: 'Actual' less than 'Forecast' is good for currency; | Frequency: Released weekly, usually on the first Thursday after the week ends; | Next Release: Jan 30, 2025 | FF Notes: This is the nation's earliest economic data. The market impact fluctuates from week to week - there tends to be more focus on the release when traders need to diagnose recent developments, or when the reading is at extremes; | Why Traders Care: Although it's generally viewed as a lagging indicator, the number of unemployed people is an important signal of overall economic health because consumer spending is highly correlated with labor-market conditions. Unemployment is also a major consideration for those steering the country's monetary policy; | Also Called: Jobless Claims, Initial Claims;"
2025-01-23 16:00:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,"Description: Due to speak at the World Economic Forum Annual Meetings, via satellite; | Source: White House (latest release) | Speaker: US President Donald Trump; | Next Release: Feb 5, 2025 | FF Notes: US President Jan 2017 - Jan 2021 and Jan 2025 - Jan 2029. He speaks frequently on a broad range of subjects - only speeches that might have direct market impact are listed on the calendar;"
2025-01-23 20:30:00+00:00,USD,High Impact Expected,Flash Services PMI,52.8,56.4,56.8,"Source: S&P Global (latest release) | Measures: Level of a diffusion index based on surveyed purchasing managers in the services industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, around 3 weeks into the current month; | Next Release: Feb 21, 2025 | FF Notes: Above 50.0 indicates industry expansion, below indicates contraction. There are 2 versions of this report released about a week apart – Flash and Final. The Flash release, which the source first reported in Nov 2013, is the earliest and thus tends to have the most impact; | Why Traders Care: It's a leading indicator of economic health - businesses react quickly to market conditions, and their purchasing managers hold perhaps the most current and relevant insight into the company's view of the economy; | Derived Via: Survey of about 400 purchasing managers which asks respondents to rate the relative level of business conditions including employment, production, new orders, prices, supplier deliveries, and inventories; | Acro Expand: Purchasing Managers' Index (PMI);"
2025-01-23 20:30:00+00:00,GBP,High Impact Expected,Flash Services PMI,51.2,50.8,51.1,"Source: S&P Global (latest release) | Measures: Level of a diffusion index based on surveyed purchasing managers in the services industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, around 3 weeks into the current month; | Next Release: Feb 21, 2025 | FF Notes: Above 50.0 indicates industry expansion, below indicates contraction. There are 2 versions of this report released about a week apart – Flash and Final. The Flash release, which the source first reported in Nov 2019, is the earliest and thus tends to have the most impact; | Why Traders Care: It's a leading indicator of economic health - businesses react quickly to market conditions, and their purchasing managers hold perhaps the most current and relevant insight into the company's view of the economy; | Derived Via: Survey of about 650 purchasing managers which asks respondents to rate the relative level of business conditions including employment, production, new orders, prices, supplier deliveries, and inventories; | Acro Expand: Purchasing Managers' Index (PMI);"
2025-01-24 09:30:00+00:00,GBP,High Impact Expected,Flash Manufacturing PMI,48.2,46.9,47.0,"Source: S&P Global (latest release) | Measures: Level of a diffusion index based on surveyed purchasing managers in the manufacturing industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, around 3 weeks into the current month; | Next Release: Feb 21, 2025 | FF Notes: Above 50.0 indicates industry expansion, below indicates contraction. There are 2 versions of this report released about a week apart – Flash and Final. The Flash release, which the source first reported in Nov 2019, is the earliest and thus tends to have the most impact; | Why Traders Care: It's a leading indicator of economic health - businesses react quickly to market conditions, and their purchasing managers hold perhaps the most current and relevant insight into the company's view of the economy; | Derived Via: Survey of about 650 purchasing managers which asks respondents to rate the relative level of business conditions including employment, production, new orders, prices, supplier deliveries, and inventories; | Acro Expand: Purchasing Managers' Index (PMI);"
2025-01-24 14:45:00+00:00,USD,High Impact Expected,Flash Manufacturing PMI,50.1,49.8,49.4,"Source: S&P Global (latest release) | Measures: Level of a diffusion index based on surveyed purchasing managers in the manufacturing industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, around 3 weeks into the current month; | Next Release: Feb 21, 2025 | FF Notes: Above 50.0 indicates industry expansion, below indicates contraction. There are 2 versions of this report released about a week apart – Flash and Final. The Flash release, which the source first reported in May 2012, is the earliest and thus tends to have the most impact; | Why Traders Care: It's a leading indicator of economic health - businesses react quickly to market conditions, and their purchasing managers hold perhaps the most current and relevant insight into the company's view of the economy; | Derived Via: Survey of about 800 purchasing managers which asks respondents to rate the relative level of business conditions including employment, production, new orders, prices, supplier deliveries, and inventories; | Acro Expand: Purchasing Managers' Index (PMI);"
2025-01-28 15:00:00+00:00,USD,High Impact Expected,CB Consumer Confidence,104.1,105.7,109.5,"Source: The Conference Board Inc. (latest release) | Measures: Level of a composite index based on surveyed households; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, on the last Tuesday of the current month; | Next Release: Feb 25, 2025 | Why Traders Care: Financial confidence is a leading indicator of consumer spending, which accounts for a majority of overall economic activity; | Derived Via: Survey of about 3,000 households which asks respondents to rate the relative level of current and future economic conditions including labor availability, business conditions, and overall economic situation; | Acro Expand: The Conference Board (CB);"
2025-01-28 20:30:00+00:00,USD,High Impact Expected,FOMC Statement,,,,"Source: Federal Reserve (latest release) | Usual Effect: More hawkish than expected is good for currency; | Frequency: Scheduled 8 times per year; | Next Release: Mar 19, 2025 | FF Notes: The FOMC usually changes the statement slightly at each release. It's these changes that traders focus on; | Why Traders Care: It's the primary tool the FOMC uses to communicate with investors about monetary policy. It contains the outcome of their vote on interest rates and other policy measures, along with commentary about the economic conditions that influenced their votes. Most importantly, it discusses the economic outlook and offers clues on the outcome of future votes; | Also Called: Interest Rate Statement, Fed Statement, Monetary Policy Statement; | Acro Expand: Federal Open Market Committee (FOMC);"
2025-01-29 14:15:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,"Description: Due to testify on the Financial Stability Report before the Treasury Select Committee, in London; | Source: Bank of England (latest release) | Speaker: BOE Governor Andrew Bailey; | Usual Effect: More hawkish than expected is good for currency; | Next Release: Feb 6, 2025 | FF Notes: BOE Governor Mar 2020 - Mar 2028. Volatility is often experienced during his speeches as traders attempt to decipher interest rate clues; | Why Traders Care: As head of the central bank, which controls short term interest rates, he has more influence over the nation's currency value than any other person. Traders scrutinize his public engagements as they are often used to drop subtle clues regarding future monetary policy; | Acro Expand: Bank of England (BOE);"
2025-01-29 19:00:00+00:00,USD,High Impact Expected,Federal Funds Rate,4.50%,4.50%,4.50%,"FF Notice: Source maintained a target range of 4.25% to 4.50%; | Source: Federal Reserve (latest release) | Measures: Interest rate at which depository institutions lend balances held at the Federal Reserve to other depository institutions overnight; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Scheduled 8 times per year; | Next Release: Mar 19, 2025 | FF Notes: The rate decision is usually priced into the market, so it tends to be overshadowed by the FOMC Statement, which is focused on the future; | Why Traders Care: Short term interest rates are the paramount factor in currency valuation - traders look at most other indicators merely to predict how rates will change in the future; | Derived Via: FOMC members vote on where to set the target rate. The individual votes are published in the FOMC statement; | Also Called: Interest Rates, Fed Funds Rate; | Acro Expand: Federal Open Market Committee (FOMC);"
2025-01-29 19:30:00+00:00,USD,High Impact Expected,FOMC Press Conference,,,,"Source: Federal Reserve (latest release) | Speaker: Federal Reserve Chair; | Usual Effect: More hawkish than expected is good for currency; | Frequency: Scheduled 8 times per year; | Next Release: Mar 19, 2025 | FF Notes: The press conference is about an hour long and has 2 parts - first a prepared statement is read, then the conference is open to press questions. The questions often lead to unscripted answers that create heavy market volatility. The press conference is webcasted on the Fed's YouTube channel in real-time. Source first conducted in Apr 2011; | Why Traders Care: It's among the primary methods the Fed uses to communicate with investors regarding monetary policy. It covers in detail the factors that affected the most recent interest rate and other policy decisions, along with commentary about economic conditions such as the future growth outlook and inflation. Most importantly, it provides clues regarding future monetary policy; | Also Called: Chair's Press Briefing; | Acro Expand: Federal Open Market Committee (FOMC), Federal Reserve (Fed);"
2025-01-29 20:30:00+00:00,USD,High Impact Expected,Unemployment Claims,207K,224K,223K,"Source: Department of Labor (latest release) | Measures: The number of individuals who filed for unemployment insurance for the first time during the past week; | Usual Effect: 'Actual' less than 'Forecast' is good for currency; | Frequency: Released weekly, usually on the first Thursday after the week ends; | Next Release: Feb 6, 2025 | FF Notes: This is the nation's earliest economic data. The market impact fluctuates from week to week - there tends to be more focus on the release when traders need to diagnose recent developments, or when the reading is at extremes; | Why Traders Care: Although it's generally viewed as a lagging indicator, the number of unemployed people is an important signal of overall economic health because consumer spending is highly correlated with labor-market conditions. Unemployment is also a major consideration for those steering the country's monetary policy; | Also Called: Jobless Claims, Initial Claims;"
2025-01-30 13:30:00+00:00,USD,High Impact Expected,Advance GDP q/q,2.3%,2.7%,3.1%,"Source: Bureau of Economic Analysis (latest release) | Measures: Annualized change in the inflation-adjusted value of all goods and services produced by the economy; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released quarterly, about 30 days after the quarter ends; | Next Release: Apr 30, 2025 | FF Notes: While this is q/q data, it's reported in an annualized format (quarterly change x4). There are 3 versions of GDP released a month apart – Advance, Preliminary, and Final. The Advance release is the earliest and thus tends to have the most impact; | Why Traders Care: It's the broadest measure of economic activity and the primary gauge of the economy's health; | Also Called: GDP First Release, Estimated GDP; | Acro Expand: Gross Domestic Product (GDP);"
2025-01-30 20:30:00+00:00,USD,High Impact Expected,Employment Cost Index q/q,0.9%,0.9%,0.8%,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the price businesses and the government pay for civilian labor; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released quarterly, about 30 days after the quarter ends; | Next Release: Apr 30, 2025 | Why Traders Care: It's a leading indicator of consumer inflation - when businesses pay more for labor the higher costs are usually passed on to the consumer;"
2025-01-30 20:30:00+00:00,USD,High Impact Expected,Core PCE Price Index m/m,0.2%,0.2%,0.1%,"Source: Bureau of Economic Analysis (latest release) | Measures: Change in the price of goods and services purchased by consumers, excluding food and energy; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 30 days after the month ends; | Next Release: Feb 28, 2025 | FF Notes: Differs from Core CPI in that it only measures goods and services targeted towards and consumed by individuals. Prices are weighted according to total expenditure per item which gives important insights into consumer spending behavior. CPI is released about 10 days earlier and tends to garner most of the attention; | Why Traders Care: It's the Federal Reserve's primary inflation measure. Inflation is important to currency valuation because rising prices lead the central bank to raise interest rates out of respect for their inflation containment mandate; | Acro Expand: Personal Consumption Expenditures (PCE), Consumer Price Index (CPI);"
2025-02-03 15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,50.9,49.3,49.3,"Source: Institute for Supply Management (latest release) | Measures: Level of a diffusion index based on surveyed purchasing managers in the manufacturing industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, on the first business day after the month ends; | Next Release: Mar 3, 2025 | FF Notes: Above 50.0 indicates industry expansion, below indicates contraction; | Why Traders Care: It's a leading indicator of economic health - businesses react quickly to market conditions, and their purchasing managers hold perhaps the most current and relevant insight into the company's view of the economy; | Derived Via: Survey of about 300 purchasing managers which asks respondents to rate the relative level of business conditions including employment, production, new orders, prices, supplier deliveries, and inventories; | Also Called: Manufacturing ISM Report On Business; | Acro Expand: The Institute for Supply Management (ISM), Purchasing Managers' Index (PMI);"
2025-02-04 15:00:00+00:00,USD,High Impact Expected,JOLTS Job Openings,7.60M,8.01M,8.16M,"Source: Bureau of Labor Statistics (latest release) | Measures: Number of job openings during the reported month, excluding the farming industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 35 days after the month ends; | Next Release: Mar 11, 2025 | FF Notes: It's released late, but can impact the market because job openings are a leading indicator of overall employment; | Why Traders Care: Job creation is an important leading indicator of consumer spending, which accounts for a majority of overall economic activity; | Acro Expand: Job Openings and Labor Turnover Survey (JOLTS);"
2025-02-04 22:10:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,"Description: Due to hold a press conference about Israel-Hamas conflict at the White House, in Washington DC; | Source: White House (latest release) | Speaker: US President Donald Trump; | Next Release: Feb 11, 2025 | FF Notes: US President Jan 2017 - Jan 2021 and Jan 2025 - Jan 2029. He speaks frequently on a broad range of subjects - only speeches that might have direct market impact are listed on the calendar;"
2025-02-05 13:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,183K,148K,176K,"Source: Automatic Data Processing, Inc. (latest release) | Measures: Estimated change in the number of employed people during the previous month, excluding the farming industry and government; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, usually on the first Wednesday after the month ends; | Next Release: Mar 5, 2025 | FF Notes: This data provides an early look at employment growth, usually 2 days ahead of the government-released employment data that it's designed to mimic. Source changed series calculation formula in Feb 2007, Dec 2008, and Nov 2012, to better align with government data; | Why Traders Care: Job creation is an important leading indicator of consumer spending, which accounts for a majority of overall economic activity; | Derived Via: ADP analyzes payroll data from more than 25 million workers to derive employment growth estimations; | Acro Expand: Automatic Data Processing, Inc. (ADP);"
